Hi.	สวัสดี
Are you interested in foreign languages?	คุณสนใจภาษาต่างประเทศไหม
Do you always go to bed before midnight?	คุณเข้านอนก่อนเที่ยงคืนตลอดไหม
How many symphonies did Beethoven write?	เบทโฮเฟินเขียนซิมโฟนีมาเท่าไหร่แล้ว?
I don't feel like eating anything today.	วันนี้ฉันไม่อยากกินอะไรเลย
I don't think your father would approve.	ผมไม่คิดว่าพ่อคุณจะเห็นด้วย
I know what the children are looking at.	ผมรู้ว่าเด็กๆ กำลังดูอะไร
I went to the airport to meet my father.	ฉันไปที่สนามบินเพื่ิอพบกับพ่อของฉัน
I wonder if Tom really has a girlfriend.	ผมสงสัยว่าทอมมีแฟนแล้วจริงหรือ
I would be happy to teach you that song.	ผมยินดีที่จะสอนเพลงนั้นให้คุณ
I'm far from pleased with your behavior.	ผมไม่พอใจพฤติกรรมของคุณ
I've told you everything I can think of.	ผมบอกคุณทุกอย่างที่ผมคิดไปแล้ว
If you're happy, then I'm happy for you.	ถ้าคุณมีความสุขผมก็ยินดีกับคุณ
It looks like you've got other problems.	ดูเหมือนว่าคุณมีปัญหาอื่น ๆ
It seems to me that Tom is too careless.	สำหรับฉันดูเหมือนว่าทอมประมาทเกินไป
Someday I'll buy a cotton candy machine.	สักวันฉันจะซื้อเครื่องทำสายไหม
The French flag is blue, white, and red.	ธงชาติฝรั่งเศสมีสีน้ำเงิน, ขาว, และแดง
The chemical formula for water is H₂O.	สูตรทางเคมีของน้ำคือ H₂O
The children are growing up really fast.	เด็กๆโตเร็วมาก
The meeting is to be held here tomorrow.	พรุ่งนี้จะมีการประชุมที่นี่
There are a lot of things we need to do.	มีหลายอย่างที่เราต้องทำ
There are some empty bottles in the box.	มีขวดเปล่าอยู่ในกล่อง
There is a garden in front of the house.	มีสวนอยู่หน้าบ้าน
There is almost no water in this bottle.	แทบไม่มีน้ำเลยในขวดนี้
They speak English and French in Canada.	พวกเขาพูดภาษาอังกฤษและฝรั่งเศสในแคนาดา
This is the church where we got married.	นี่คือโบสถ์ที่เราแต่งงานกัน
Tom advised Mary to eat more vegetables.	ทอมแนะนำให้แมรี่กินผักมากขึ้น
Tom and Mary are both Canadian citizens.	ทั้งทอมและแมรี่เป็นชาวแคนาดา
Tom doesn't believe in life after death.	ทอมไม่เชื่อในชีวิตหลังความตาย
Tom doesn't know what Mary wants to buy.	ทอมไม่รู้ว่าแมรี่ต้องการซื้ออะไร
Tom hasn't come to work for three weeks.	ทอมไม่มาทำงานสามอาทิตย์แล้ว
Tom is frequently free in the afternoon.	ทอมมักจะว่างในตอนบ่าย
Tom plays soccer every day after school.	ทอมเล่นฟุตบอลทุกวันหลังเลิกเรียน
We must move this statue very carefully.	เราต้องย้ายรูปปั้นนี้อย่างระมัดระวังมาก
We've gotten a lot of positive feedback.	เราได้รับการตอบรับเชิงบวกมากมาย
What do you call this insect in English?	คุณเรียกแมลงชนิดนี้เป็นภาษาอังกฤษว่าอะไร
What do you want to do in the afternoon?	คุณต้องการทำอะไรตอนบ่าย?
What kind of fish do you eat most often?	คุณกินปลาอะไรบ่อยที่สุด
When was the last time you played chess?	คุณเล่นหมากรุกครั้งสุดท้ายเมื่อไหร่
You should phone Tom as soon as you can.	คุณควรโทรหาทอมให้เร็วที่สุด
Don't use the elevator if there's a fire.	อย่าใช้ลิฟต์ถ้ามีไฟไหม้
How long did this book take you to write?	คุณใช้เวลาเขียนหนังสือเล่มนี้นานเท่าไหร่
How long will this cold weather continue?	อากาศหนาวนี้จะดำเนินต่อไปอีกนานขนาดไหน?
I always take a bath before going to bed.	ฉันอาบน้ำก่อนนอนเสมอ
I am looking for a present for my mother.	ฉันกำลังมองหาของขวัญให้กับแม่ของฉัน
I can speak Chinese, but I can't read it.	ฉันพูดภาษาจีนได้ แต่ฉันอ่านไม่ออก
I can't remember when he moved to Boston.	ฉันจำไม่ได้ว่าเขาย้ายไปบอสตันเมื่อไหร่
I don't know anything about the accident.	ฉันไม่รู้อะไรเกี่ยวกับอุบัติเหตุ
I have a boss who's much younger than me.	ฉันมีเจ้านายที่อายุน้อยกว่าฉันมาก
I know that wasn't the answer you wanted.	ผมรู้ว่านั่นไม่ใช่คำตอบที่คุณต้องการ
I know the reason why Tom was doing that.	ฉันรู้เหตุผลที่ทอมทำอย่างนั้น
I study French for three hours every day.	ผมเรียนภาษาฝรั่งเศสสามชั่วโมงทุกวัน
I think you're asking the wrong question.	ผมคิดว่าคุณถามคำถามผิด
I thought that we'd outsmarted everybody.	ฉันคิดว่าเราจะเอาชนะทุกคน
I tried to write down everything he said.	ผมพยายามเขียนทุกอย่างที่เขาพูด
I will teach you how to fish next Sunday.	ผมจะสอนวิธีตกปลาให้คุณวันอาทิตย์หน้า
I wouldn't be able to live without music.	ผมอยู่ไม่ได้ถ้าไม่มีดนตรี
I'll call them tomorrow when I come back.	ฉันจะโทรหาพวกเขาพรุ่งนี้เมื่อฉันกลับมา
Most people write about their daily life.	คนส่วนใหญ่เขียนเกี่ยวกับชีวิตประจำวันของพวกเขา
My mother has been sick since last month.	แม่ฉันป่วยมาตั้งแต่เดือนที่แล้ว
My mother is making a cake for my father.	แม่ฉันทำเค้กให้พ่อฉัน
My room is three times as large as yours.	ห้องของฉันมีขนาดใหญ่เป็นสามเท่าของคุณ
Thank you for teaching me so many things.	ขอบคุณที่สอนอะไรหลายๆ อย่างให้ผม
That looks delicious. I'd like to try it.	นั่นดูน่าอร่อย ฉันจะลองชิมดู
The food was so good that I ate too much.	อาหารอร่อยมากจนฉันกินมากเกินไป
There are many red flowers in the garden.	มีดอกไม้สีแดงมากมายในสวน
There is too much furniture in the house.	มีเฟอร์นิเจอร์มากเกินไปในบ้าน
This is the house that I used to live in.	นี่คือบ้านที่ฉันเคยอยู่
Tom and I've been friends for many years.	ทอมกับผมเป็นเพื่อนกันมาหลายปีแล้ว
Tom and Mary invited me to their wedding.	ทอมและแมรี่เชิญฉันไปงานแต่งงาน
Tom didn't say anything, but just smiled.	ทอมไม่ได้พูดอะไรได้แต่ยิ้ม
Tom got paid a lot less than he expected.	ทอมได้รับเงินน้อยกว่าที่เขาคาดไว้มาก
Tom has less money than his brother does.	ทอมมีเงินน้อยกว่าพี่ชายเขา
Tom has less money than his brother does.	ทอมมีเงินน้อยกว่าน้องชายเขา
Tom has lost interest in studying French.	ทอมเสียความสนใจในการเรียนภาษาฝรั่งเศส
Tom poured some apple juice into a glass.	ทอมเทน้ำแอปเปิ้ลลงในแก้ว
Tom said Mary was coming over for dinner.	ทอมบอกว่าแมรี่กำลังมาในมื้อเย็น
Tom said something I couldn't understand.	ทอมพูดบางอย่างที่ฉันไม่เข้าใจ
Tom spends too much time on the computer.	ทอมใช้เวลากับคอมพิวเตอร์มากเกินไป
Tom was working for an insurance company.	ทอมทำงานให้บริษัทประกัน
Tom's dog is much bigger than Mary's dog.	สุนัขของทอมตัวใหญ่กว่าสุนัขของแมรี่มาก
Tom's dog is much bigger than Mary's dog.	หมาของทอมตัวใหญ่กว่าหมาของแมรี่มาก
We should leave here as soon as possible.	เราควรออกจากที่นี่ให้เร็วที่สุด
What prevented Tom from coming yesterday?	อะไรทำให้ทอมไม่มาเมื่อวานนี้?
When the cat is away, the mice will play.	แมวไม่อยู่หนูร่าเริง
Would you please not leave the door open?	คุณช่วยอย่าเปิดประตูทิ้งไว้ได้ไหม?
Would you please not leave the door open?	คุณกรุณาอย่าเปิดประตูทิ้งไว้ได้ไหม?
You should be respectful to your parents.	คุณควรเคารพพ่อแม่คุณ
You're lucky that you didn't get injured.	คุณโชคดีที่คุณไม่บาดเจ็บ
Can someone tell me where the keyboard is?	มีใครสามารถบอกฉันได้มั้ยว่าแป้นพิมพ์อยู่ที่ไหน?
Do you go to school on foot or by bicycle?	คุณไปโรงเรียนด้วยการเดินไปหรือขี่จักรยานไป?
Everyone wants to meet you. You're famous!	ทุกคนต้องการพบคุณ คุณโด่งดังแล้ว!
He must be very angry to say such a thing.	เขาจะต้องโกรธมากที่จะพูดสิ่งนี้
I agree with you that we should try again.	ฉันเห็นด้วยกับคุณว่าเราควรลองอีกครั้ง
I didn't know apple trees grow from seeds.	ฉันไม่รู้ว่าต้นแอปเปิ้ลเติบโตจากเมล็ด
I don't have any money to pay for the bus.	ผมไม่มีเงินจ่ายค่ารถเมล์
I don't have any problem getting to sleep.	ผมไม่มีปัญหาในการนอนหลับ
I forgot to take my medicine this morning.	เช้านี้ผมลืมกินยา
I had to walk because there were no taxis.	ฉันต้องเดินเพราะไม่มีแท็กซี่
I have already finished reading this book.	ฉันอ่านหนังสือเล่มนี้เสร็จแล้ว
I think that it's going to be a busy week.	ผมคิดว่ามันจะเป็นสัปดาห์ที่ยุ่ง
I was surprised Tom didn't come yesterday.	ผมแปลกใจที่ทอมไม่มาเมื่อวาน
I've been sitting here for almost an hour.	ผมนั่งอยู่ที่นี่มาเกือบชั่วโมงแล้ว
She was very beautiful when she was young.	เธอสวยมากตอนที่เธอยังเด็ก
Thai is the official language in Thailand.	ภาษาไทยเป็นภาษาราชการในประเทศไทย
Thai is the official language of Thailand.	ภาษาไทยเป็นภาษาราชการของประเทศไทย
That's the stupidest thing I've ever said.	นั่นคือสิ่งที่โง่ที่สุดที่ฉันเคยพูด
The plane took off at exactly ten o'clock.	เครื่องบินออกตอนสิบโมง
There are many good restaurants in Boston.	มีร้านอาหารดี ๆ มากมายในบอสตัน
There are still things that we need to do.	ยังมีสิ่งที่เราต้องทำ
There is an urgent need for social change.	การเปลี่ยนแปลงทางสังคมเป็นสิ่งจำเป็นเร่งด่วนของที่นั่น
There's no water coming out of the shower.	ไม่มีน้ำไหลออกมาจากฝักบัว
Tom came down to breakfast in his pajamas.	ทอมลงมาทานอาหารเช้าในชุดนอน
Tom didn't come to school on October 20th.	ทอมไม่ได้มาโรงเรียนในวันที่ยี่สิบตุลาคม
Tom recognized Mary as soon as he saw her.	ทอมจำแมรี่ได้ทันทีที่เขาเห็นเธอ
Tom says he doesn't know a thing about it.	ทอมบอกว่าเขาไม่รู้อะไรเกี่ยวกับมัน
Tom says you want to go to Boston with us.	ทอมบอกว่าคุณต้องการไปบอสตันกับเรา
Tom will be sleeping in the guest bedroom.	ทอมจะนอนในห้องนอนแขก
What kind of bicycle does Tom want to buy?	ทอมต้องการซื้อจักรยานแบบไหน
You shouldn't keep a wild animal as a pet.	คุณไม่ควรเลี้ยงสัตว์ป่าเป็นสัตว์เลี้ยง
You're not the only one with this problem.	คุณไม่ใช่คนเดียวที่มีปัญหานี้
You've already had breakfast, haven't you?	คุณทานอาหารเช้าแล้วใช่ไหม
Are you sure there were only three of them?	คุณแน่ใจเหรอว่ามีแค่สามคน
Could you please repeat what you just said?	ช่วยพูดซ้ำในสิ่งที่คุณพึ่งพูดได้ไหม
Did you find the book you were looking for?	คุณเจอหนังสือที่ตามหาตอนนั้นหรือยัง
Have you ever received a blood transfusion?	คุณเคยได้รับการถ่ายเลือดหรือไม่
Have you finished your French homework yet?	คุณทำการบ้านภาษาฝรั่งเศสเสร็จแล้วหรือยัง?
He translated a Japanese novel into French.	ขาแปลนวนิยายญี่ปุ่นเป็นภาษาฝรั่งเศส
How long have you been waiting for the bus?	คุณรอรถเมล์มานานเท่าไหร่แล้ว?
I am afraid they don't get along very well.	ฉันเกรงว่าพวกเขาไปด้วยกันได้ไม่ค่อยดีเท่าไหร่
I know you're supposed to be working today.	ผมรู้ว่าวันนี้คุณต้องทำงาน
I met my teacher on the way to the station.	ฉันพบคุณครูระหว่างทางไปสถานี
I would like to go to the concert with you.	ฉันอยากไปที่คอนเสิร์ตกับคุณ
I'd be unhappy, but I wouldn't kill myself.	ฉันจะไม่มีความสุข แต่ฉันจะไม่ฆ่าตัวตาย
I'm going to study French for one semester.	ฉันจะเรียนภาษาฝรั่งเศษเป็นเวลาหนึ่งเทอม
Let's consider the worst that could happen.	ลองพิจารณาสิ่งที่แย่ที่สุดที่อาจเกิดขึ้นได้
My ex-husband no longer lives in this city.	สามีเก่าของฉันไม่อาศัยอยู่ในเมืองนี้อีกต่อไป
My grandfather passed away three years ago.	ปู่ของผมเสียชีวิตเมื่อสามปีที่แล้ว
My mother wants me to study in Switzerland.	แม่ของฉันต้องการให้ฉันเรียนที่สวิตเซอร์แลนด์
The simplest solutions are always the best.	ทางแก้ปัญหาที่ง่ายที่สุดมักจะเป็นทางที่ดีที่สุดเสมอ
This is a very good way to learn languages.	นี่เป็นวิธีที่ดีมากในการเรียนรู้ภาษา
Tom bought the cheapest thing in the store.	ทอมซื้อของที่ถูกสุดในร้าน
Tom is always so negative about everything.	ทอมให้มองเห็นทุกอย่างในแง่ลบเสมอ
Tom was supposed to do that, but he didn't.	ทอมควรทำอย่างนั้นแต่เขาไม่ทำ
Why aren't you doing what I told you to do?	ทำไมคุณไม่ทำตามที่ผมบอก
You should have knocked before you came in.	คุณควรเคาะประตูก่อนที่จะเข้ามา
Amsterdam is the capital of the Netherlands.	อัมสเตอร์ดัมเป็นเมืองหลวงของเนเธอร์แลนด์
Don't give any of these things to your kids.	อย่าเอาของพวกนี้ให้ลูกคุณ
He gave the police a false name and address.	เขาให้ชื่อและที่อยู่ปลอมกับตำรวจ
How many people were present at the meeting?	มีคนเข้าร่วมประชุมกี่คน?
I don't want to work under these conditions.	ฉันไม่ต้องการทำงานภายใต้เงื่อนไขเหล่านี้
I have plenty of time, but not enough money.	ฉันมีเวลาเหลือเฟือ แต่มีเงินไม่พอ
I have plenty of time, but not enough money.	ผมมีเวลามากมายแต่มีเงินไม่พอ
I know most people here don't like swimming.	ผมรู้ว่าคนส่วนใหญ่ที่นี่ไม่ชอบว่ายน้ำ
I will give you a bicycle for your birthday.	ฉันจะให้จักรยานแก่คุณสำหรับวันเกิด
In order to do that, you have to take risks.	ในการทำเช่นนั้น คุณต้องยอมรับความเสี่ยง
It takes years to master a foreign language.	ใช้เวลาหลายปีกว่าจะชำนาญภาษาต่างประเทศ
It was so cold yesterday that I stayed home.	เมื่อวานนี้มันหนาวมากจนฉันอยู่บ้าน
Social customs vary from country to country.	วัฒนธรรมทางสังคมมีการแปรเปลี่ยนไปในแต่ละประเทศ
The escaped prisoner hasn't yet been caught.	นักโทษที่หลบหนียังไม่ถูกจับ
Tom put salt in his coffee instead of sugar.	ทอมใส่เกลือในกาแฟของเขาแทนที่จะเป็นน้ำตาล
Tom tried to pick up his keys with his toes.	ทอมพยายามหยิบกุญแจของเขาขึ้นมาด้วยนิ้วเท้าของเขา
We've been here for the last couple of days.	เราอยู่ที่นี่มาสองวันแล้ว
You can't buy anything if you have no money.	คุณไม่สามารถซื้ออะไรได้ถ้าคุณไม่มีเงิน
Your wish will come true in the near future.	ความปรารถนาของคุณจะเป็นจริงในอนาคตอันใกล้
Earthquakes and floods are natural disasters.	แผ่นดินไหวและน้ำท่วมเป็นภัยธรรมชาติ
Even though he apologized, I'm still furious.	ถึงเขาจะขอโทษ ฉันก็ยังโกรธ
Even though he apologized, I'm still furious.	ถึงเขาจะขอโทษแล้ว แต่ฉันก็ยังโกรธ
I got here just a few minutes before you did.	ฉันมาถึงที่นี่ก่อนคุณไม่กี่นาที
I realize now why I shouldn't have done that.	ฉันเข้าใจแล้วว่าทำไมฉันไม่ควรทำอย่างนั้น
I still don't understand what the problem is.	ผมยังไม่เข้าใจว่าปัญหาคืออะไร
I think that Tom would be afraid of your dog.	ฉันคิดว่าทอมน่าจะกลัวหมาของเธอนะ
I usually do my shopping at this supermarket.	ฉันมักจะซื้อของที่ซูเปอร์มาร์เก็ตนี้
I wonder why Tom didn't come to Mary's party.	ฉันสงสัยว่าทำไมทอมถึงไม่มาที่ปาร์ตี้ของแมรี่
I would've liked to have gone there with you.	ผมอยากจะไปที่นั่นกับคุณ
I'll do my best not to disturb your studying.	ฉันจะพยายามสุดความสามารถที่จะไม่รบกวนการเรียนของเธอ
In Venice, there are always lots of tourists.	ในเวนิสมีนักท่องเที่ยวจำนวนมากเสมอ
People don't like what they can't understand.	ผู้คนมักไม่ชอบในสิ่งที่พวกเขาไม่เข้าใจ
She was ready to give him back all his money.	เธอพร้อมที่จะคืนเงินทั้งหมดให้เขา
The box was so heavy that I couldn't lift it.	กล่องหนักมากจนยกไม่ได้
The more you have, the more you have to lose.	ยิ่งมีมาก ก็ยิ่งต้องเสียมาก
The price of food has gone up a lot recently.	ราคาอาหารขึ้นมากในช่วงนี้
There are many words that I don't understand.	มีหลายคำที่ฉันไม่เข้าใจ
There were almost no passengers on the train.	แทบไม่มีผู้โดยสารบนรถไฟเลย
There's got to be a better way of doing this.	มันต้องมีทางที่ดีกว่านี้
These books are mine and those books are his.	หนังสือกองนี้ของฉัน ส่วนกองโน้นน่ะของเค้า
Tom knew right away something had gone wrong.	ทอมรู้ทันทีว่ามีบางอย่างผิดปกติ
We couldn't go out because of the heavy rain.	เราออกไปไม่ได้เพราะฝนตกหนัก
What time did you close the store last night?	เมื่อคืนคุณปิดร้านกี่โมง
You need to be more positive about your work.	คุณต้องมีทัศนคติที่ดีต่องานของคุณ
Avoid crossing this street when it is raining.	หลีกเลี่ยงการข้ามถนนเส้นนี้เมื่อฝนตก
He marches to the beat of a different drummer.	เขาเดินตามจังหวะของมือกลองคนละคน
I can't sleep because it's too bright outside.	ผมนอนไม่หลับเพราะข้างนอกสว่างเกินไป
I hear she is going to get married next month.	ผมได้ยินว่าเธอจะแต่งงานเดือนหน้า
I was thirsty, but there was nothing to drink.	ผมหิวน้ำแต่ไม่มีอะไรให้ดื่ม
I wonder what Tom's motive for doing that was.	ฉันสงสัยว่าทอมมีเหตุผลอะไรในการทำอย่างนั้น
She went to see him in the hospital every day.	เธอไปพบเขาที่โรงพยาบาลทุกวัน
Tom is a boy's name and Mary is a girl's name.	ทอมเป็นชื่อของเด็กชายและแมรี่เป็นชื่อของเด็กหญิง
What will happen if there's power failure now?	จะเกิดอะไรขึ้นถ้ามีไฟฟ้าขัดข้องตอนนี้?
When Tom found out about that, he was furious.	เมื่อทอมรู้เรื่องนี้เขาก็โกรธจัด
You shouldn't be drinking on an empty stomach.	คุณไม่ควรดื่มในขณะท้องว่าง
A lot of people are dealing with allergies now.	ผู้คนจำนวนมากกำลังเผชิญกับอาการแพ้ในขณะนี้
He officially announced himself as a candidate.	เขาประกาศตัวเป็นผู้ท้าชิงอย่างเป็นทางการ
How many students are there in your university?	ในมหาวิทยาลัยของคุณมีนักเรียนกี่คน?
I don't believe that black cats cause bad luck.	ฉันไม่เชื่อว่าแมวดำก่อให้เกิดโชคร้าย
I was bitten by a lot of insects in the forest.	ฉันถูกแมลงหลายตัวกัดในป่า
I'd love to go to the museum with you tomorrow.	ฉันอยากไปพิพิธภัณฑ์กับคุณพรุ่งนี้
Is it true that horses sleep while standing up?	จริงหรือไม่ที่ม้าหลับขณะยืน
One million people lost their lives in the war.	หนึ่งล้านคนเสียชีวิตในสงคราม
The policeman arrested him for drunken driving.	ตำรวจกุมตัวเขาเพราะเมาแล้วขับ
Tom is a man's name and Mary is a woman's name.	ทอมเป็นชื่อของผู้ชายและแมรี่เป็นชื่อของผู้หญิง
We're delighted with the way things turned out.	เราพอใจกับสิ่งที่เกิดขึ้น
I didn't see any children playing on the swings.	ผมไม่เห็นเด็กเล่นชิงช้าเลย
I just lay on the beach and watched people swim.	ผมแค่นอนบนชายหาดและดูคนว่ายน้ำ
I know what I want. I just haven't found it yet.	ฉันรู้ว่าฉันต้องการอะไร แค่ฉันยังไม่ได้พบมัน
I wonder what the weather will be like tomorrow.	ฉันสงสัยว่าพรุ่งนี้อากาศจะเป็นอย่างไร
I'm looking for someone to do my laundry for me.	ฉันกำลังมองหาคนซักเสื้อผ้าสำหรับฉัน
It wasn't the first time that Tom had been late.	นี่ไม่ใช่ครั้งแรกที่ทอมมาสาย
Most students are preparing for the final exams.	นักเรียนส่วนใหญ่เตรียมความพร้อมสำหรับการสอบปลายภาค
The meeting lasted a lot longer than I expected.	การประชุมใช้เวลานานกว่าที่ผมคาดไว้มาก
This is the street that I was telling you about.	นี่คือถนนที่ผมบอกคุณ
Tom reminded Mary that she had to do that today.	ทอมเตือนแมรี่ว่าเธอต้องทำสิ่งนั้นวันนี้
Tom said Mary didn't think John really did that.	ทอมพูดว่าแมรี่ไม่ได้คิดว่าจอห์นทำอย่างนั้นจริง
Trees give off oxygen and absorb carbon dioxide.	ต้นไม้ให้ออกซิเจนและดูดซับคาร์บอนไดออกไซด์
We went to the museum to study Japanese history.	เราไปที่พิพิธภัณฑ์เพื่อศึกษาประวัติศาสตร์ญี่ปุ่น
Why does the US government let people have guns?	ทำไมรัฐบาลสหรัฐปล่อยให้คนมีปืน?
How long did it take for the ambulance to arrive?	นานไหมกว่ารถพยาบาลจะมาถึง
I couldn't help laughing when I heard that story.	ฉันอดหัวเราะไม่ได้เมื่อได้ยินเรื่องนั้น
I have a lot of work that still needs to be done.	ฉันมีงานที่ต้องทำมากมาย
I have to write a letter. Do you have some paper?	ฉันต้องเขียนจดหมาย คุณมีกระดาษบ้างไหม?
Mt. Everest is the highest mountain in the world.	ภูเขาเอเวอเรสต์เป็นภูเขาที่สูงที่สุดในโลก
Mt. Everest is the highest mountain in the world.	ยอดเขาเอเวอเรสต์เป็นยอดเขาที่สูงที่สุดในโลก
That was probably what influenced their decision.	นั่นอาจเป็นสิ่งที่มีอิทธิพลต่อการตัดสินใจของพวกเขา
There's no need to hurry. We have plenty of time.	ไม่จำเป็นต้องรีบร้อน เรามีเวลาเหลือเฟือ
Tom was sitting in the dark, smoking a cigarette.	ทอมนั่งในความมืด สูบบุหรี่
I think Tom is from Australia, but I may be wrong.	ฉันคิดว่าทอมมาจากออสเตรเลีย แต่ฉันอาจจะผิดก็ได้
I've persuaded Tom to stay in Boston until Monday.	ฉันเกลี้ยกล่อมทอมให้อยู่ในบอสตันจนถึงวันจันทร์
Mary is wearing the dress her mother made for her.	แมรี่สวมชุดที่แม่ของเธอทำให้
Tom escaped from the castle, disguised as a woman.	ทอมหนีออกจากปราสาท ปลอมตัวเป็นผู้หญิง
You must learn English whether you like it or not.	คุณต้องเรียนภาษาอังกฤษไม่ว่าคุณจะชอบหรือไม่
You should read a lot of books while you're young.	คุณควรอ่านหนังสือจำนวนมากในขณะที่คุณยังเด็ก
I can't tell her now. It's not that simple anymore.	ฉันบอกเธอไม่ได้ตอนนี้ มันไม่ง่ายอย่างนั้นอีกแล้ว
It would take forever for me to explain everything.	มันคงใช้เวลานานมากสำหรับฉันที่จะอธิบายทุกอย่าง
It's one of the most beautiful cities in the world.	มันคือหนึ่งในเมืองที่สวยที่สุดในโลก
The man confessed that he had robbed the old woman.	ผู้ชายสารภาพว่าเค้าปล้นผู้หญิงแก่คนนั้น
Tom and Mary are having a little financial trouble.	ทอมและแมรี่มีปัญหาทางการเงินเล็กน้อย
Do you think Tom knew that that was going to happen?	คุณคิดว่าทอมรู้ว่ามันจะเกิดขึ้นหรือเปล่า
He was poor for a long time, but he is well off now.	เขาเคยเป็นคนจนมาเป็นเวลานาน แต่ตอนนี้เขาดีแล้ว
He was wrong in thinking that she'd come to see him.	เขาคิดผิดว่าเธอจะมาพบเขา
How many hours a week do you spend in the classroom?	คุณใช้เวลาในห้องเรียนกี่ชั่วโมงต่อสัปดาห์
I asked around and everybody says Tom is a good guy.	ฉันได้ถามกับคนรอบข้างและทุกคนต่างก็บอกว่าทอมเป็นคนที่ดี
I enjoyed the concert except that the hall was cold.	ฉันสนุกกับคอนเสิร์ตยกเว้นห้องโถงมีอากาศเย็น
Tom and Mary don't have enough money to buy a house.	ทอมและแมรี่ไม่มีเงินพอซื้อบ้าน
Compare your sentence with the one on the blackboard.	เปรียบเทียบประโยคของคุณกับประโยคในกระดานดำ
How much would you charge me to do my laundry for me?	คุณคิดค่าบริการฉันเท่าไรสำหรับการซักรีดให้ฉัน
I wonder where to hang this picture that Tom gave me.	ฉันสงสัยว่าจะแขวนรูปที่ทอมให้มาตรงไหนดี
Whenever I find something I like, it's too expensive.	เมื่อใดก็ตามที่ฉันพบบางสิ่งที่ฉันชอบมันจะแพงเกินไป
You should look over the contract before you sign it.	คุณควรตรวจสัญญาก่อนลงชื่อ
All writing systems have advantages and disadvantages.	ระบบการเขียนทั้งหมดมีทั้งข้อดีและข้อเสีย
Back in high school, I got up at 6 a.m. every morning.	กลับมาตอนมัธยม ฉันตื่นนอนเวลา 6 โมงเช้าทุกเช้า
Don't be so glum about it. Life has its ups and downs.	อย่ามัวแต่กังวลมัน ชีวิตมีช่วงขึ้นและลง
If you really want to know, all you have to do is ask.	ถ้าคุณอยากรู้จริง ๆ สิ่งที่คุณต้องทำคือถาม
Only Tom would have the guts to do that kind of thing.	ทอมเท่านั้นที่จะมีความกล้าที่จะทำสิ่งอย่างนั้น
Some parents refuse to have their children vaccinated.	ผู้ปกครองบางคนปฏิเสธที่จะให้บุตรได้รับการฉีดวัคซีน
There is a bookstore in front of the department store.	มีร้านหนังสือหนึ่งแห่งอยู่หน้าห้างสรรพสินค้า
Tom and his brother have very different personalities.	ทอมและพี่ชายของเขามีนิสัยที่ต่างกันมาก
Tom and his brother have very different personalities.	ทอมและน้องชายของเขามีนิสัยที่ต่างกันมาก
What's the difference between religion and philosophy?	ศาสนากับปรัชญาต่างกันอย่างไร?
What's the difference between religion and philosophy?	อะไรคือสิ่งแตกต่างระหว่างศาสนากับปรัชญา?
Germany adopted a social security system in the 1880's.	เยอรมนีเริ่มใช้ระบบประกันสังคมในปี 1880
Our school prohibits us from going to the movies alone.	โรงเรียนของเราห้ามไม่ให้เราไปดูหนังคนเดียว
The doctor continued to observe the patient's behavior.	แพทย์ยังคงสังเกตพฤติกรรมของผู้ป่วยอย่างต่อเนื่อง
Do you have anything in the refrigerator that I can eat?	คุณมีอะไรในตู้เย็นที่ฉันกินได้ไหม
I've always wondered what it'd be like to have siblings.	ฉันสงสัยอยู่เสมอว่ามันจะเป็นอย่างไรที่มีพี่น้อง
Did you see the sunrise earlier? It was really beautiful.	คุณได้เห็นพระอาทิตย์ขึ้นเมื่อกี้ไหม? มันสวยมากเลย
How do you know you're not mistaking me for someone else?	คุณรู้ได้อย่างไรว่าไม่ได้สับสนฉันกับคนอื่น
Just go about your business and don't keep looking at me.	แค่ไปทำงานของคุณและเลิกมองฉัน
The football game might be called off on account of rain.	ฟุตบอลอาจจะยกเลิกเพราะฝนตก
When you open the door, the light comes on automatically.	เมื่อคุณเปิดประตูไฟจะสว่างขึ้นโดยอัตโนมัติ
I met my teacher by accident at the restaurant last night.	เมื่อคืนนี้ฉันเจอกับครูของฉันโดยบังเอิญ
The real problem is you don't even know we have a problem.	ปัญหาที่แท้จริงคือคุณไม่รู้ด้วยซ้ำว่าเรามีปัญหา
Tom can't come to work today because he doesn't feel well.	ทอมไม่สามารถมาทำงานได้ในวันนี้เพราะเขารู้สึกไม่สบาย
While we were on holiday, a neighbor took care of our cat.	ระหว่างที่พวกเราไปเที่ยววันหยุดกัน มีเพื่อนบ้านคนหนึ่งช่วยดูแลแมวของพวกเราให้
Washing dishes is something that I don't really enjoy doing.	การล้างจานเป็นสิ่งที่ผมไม่ชอบทำ
I suspect Tom won't tell Mary what happened to him yesterday.	ฉันคิดว่าทอมจะไม่บอกแมรี่ว่าเกิดอะไรขึ้นกับเขาเมื่อวานนี้
Tom and Mary will probably not tell John about what they did.	ทอมและแมรีคงไม่บอกจอห์นหรอกว่าพวกเขาทำอะไรลงไป
Have you ever been to that Japanese restaurant on Park Street?	คุณเคยไปร้านอาหารญี่ปุ่นที่ถนนปาร์กหรือยัง
He listened very carefully in order not to miss a single word.	เขาฟังอย่างระมัดระวังเพื่อไม่ให้พลาดแม้แต่คำเดียว
I have a cat and a dog. The cat is black and the dog is white.	ฉันมีแมวและสุนัข แมวมีสีดำและสุนัขมีสีขาว
